pdt_name,pdt_name_clean,pdt_cas,브랜드명,규격/스펙
"Amber PP 0.5~2.0㎖ Micro-Centrifuge Tubes, for Light-sensitive Sample, Leak-proof, 20,000 RCF With Large Moulded Graduation & Marking Area & Integral Snap Cap, Autoclavable, 갈색 Micro 원심관","amber pp 0.5~2.0㎖ micro-centrifuge tubes, for light-sensitive sample, leak-proof, 20,000 rcf with large moulded graduation & marking area & integral snap cap, autoclavable, 갈색 micro 원심관",,,
"PC All Clear Vacuum Desiccator Set, No-Grease/No-Breakage, id Φ145~Φ297mm With PP Plate & PP Stopcock & Silicone O-ring, PC 투명 진공 데시케이터, 중판 포함","pc all clear vacuum desiccator set, no-grease no-breakage, id φ145~φ297mm with pp plate & pp stopcock & silicone o-ring, pc 투명 진공 데시케이터, 중판 포함",,,
"PP Floating Rack for Micro Centrifuge Tube, for 1.5㎖ & 2㎖ Micro Centrifuge Tubes with Detachable Legs, White Color, 20 Hole, Φ98 & h60mm, PP 20-홀 플로팅 랙","pp floating rack for micro centrifuge tube, for 1.5㎖ & 2㎖ micro centrifuge tubes with detachable legs, white color, 20 hole, φ98 & h60mm, pp 20-홀 플로팅 랙",,,
"PP Expandable Micro- and PCR- Tube Rack, Stackable, for 0.2/0.5/1.5/2.0㎖ Tubes Ideal for Storage & Work Microcentrifuge Tubes/Cryogenic Vials, Autoclavable, 확장형 튜브랙","pp expandable micro- and pcr- tube rack, stackable, for 0.2 0.5 1.5 2.0㎖ tubes ideal for storage & work microcentrifuge tubes cryogenic vials, autoclavable, 확장형 튜브랙",,,
"Twisty PP Tube Rack, Can be Rotated 180 °, for 0.2㎖ PCR Tube and 0.5~2.0㎖ Microtube Ideal for Dilution and Concentration, Autoclavable, -80℃ ~ +121℃ withstand, PP 회전형 튜브랙","twisty pp tube rack, can be rotated 180 °, for 0.2㎖ pcr tube and 0.5~2.0㎖ microtube ideal for dilution and concentration, autoclavable, -80℃ ~ +121℃ withstand, pp 회전형 튜브랙",,,
"PP Cube-type Rotator Workstation Rack, 4 Color, Stackable, for 0.5, 1.5, 2.0, 15 and 50㎖ with Moulded Alpha-Numeric Index, Autoclavable, -80℃ ~ +121℃, 큐브타입 회전형 워크스테이션 랙","pp cube-type rotator workstation rack, 4 color, stackable, for 0.5, 1.5, 2.0, 15 and 50㎖ with moulded alpha-numeric index, autoclavable, -80℃ ~ +121℃, 큐브타입 회전형 워크스테이션 랙",,,
"PP Multi Combination Racks, for Micro Tube 0.5~2㎖, Φ12×75 tube, and 15&50㎖ Centrifuge Tube with Moulded Alpha-Numeric Index, Autoclavable, -80℃ ~ +121℃, PP 연결가능형 랙","pp multi combination racks, for micro tube 0.5~2㎖, φ12×75 tube, and 15&50㎖ centrifuge tube with moulded alpha-numeric index, autoclavable, -80℃ ~ +121℃, pp 연결가능형 랙",,,
"Caulking Gun, for Silicone Sealants, 실리콘 건","caulking gun, for silicone sealants, 실리콘 건",,,
"Safety Ampule Snapper/Breakers, Safe & Easy Breaking, 안전 앰플 따개","safety ampule snapper breakers, safe & easy breaking, 안전 앰플 따개",,,
"Teflon Laminated Polyester Apron, with Arm, for Chemical Resistance, 내약품성 앞치마","teflon laminated polyester apron, with arm, for chemical resistance, 내약품성 앞치마",,,
"Precision Vacuum Gauge, Measurement Range 0~1bar for Precision Aspirators, 아스피레이터용 정밀형 진공 게이지","precision vacuum gauge, measurement range 0~1bar for precision aspirators, 아스피레이터용 정밀형 진공 게이지",,,
"Sterilization Indicator Tapes, w19mm×L50m/Roll for Dry-heat, EO-Gas, and Steam Sterile/Autoclaving, 멸균 감지 테이프","sterilization indicator tapes, w19mm×l50m roll for dry-heat, eo-gas, and steam sterile autoclaving, 멸균 감지 테이프",,,
"Low-Nitrogen Weighing Paper, 평량지 / 유산지","low-nitrogen weighing paper, 평량지 유산지",,,
"Rectangular Wire Baskets, Stainless-steel, Ideal for Ultrasonic Cleaner, 1~74 Lit with Wire Handle, Standard / Large Capacity Square-type, 사각 와이어 바스켓, 핸들형","rectangular wire baskets, stainless-steel, ideal for ultrasonic cleaner, 1~74 lit with wire handle, standard large capacity square-type, 사각 와이어 바스켓, 핸들형",,,
"Rectangular Stainless-steel Wire Basket Trays, 16~35 Lit Ideal for Sterilization / Transfer / Storage, High Quality, 스텐선 바스켓/트레이","rectangular stainless-steel wire basket trays, 16~35 lit ideal for sterilization transfer storage, high quality, 스텐선 바스켓 트레이",,,
"Stainless-steel High-performance Beaker / Measure, Medical-grade, 100~1,000㎖ with Fine-graduation & -safety Handle, 고품질 스텐계량컵 / 비커, 정밀눈금","stainless-steel high-performance beaker measure, medical-grade, 100~1,000㎖ with fine-graduation & -safety handle, 고품질 스텐계량컵 비커, 정밀눈금",,,
"PE Collapsible Aspiration Bottle, With/Without Screwcock, with Handle, 10~20 Lit Made of Polythylene, Neck id Φ33.5mm, PE 스토리지 접이식 바틀","pe collapsible aspiration bottle, with without screwcock, with handle, 10~20 lit made of polythylene, neck id φ33.5mm, pe 스토리지 접이식 바틀",,,
"Wisd “Leak-Proof” PTFE/Butyl Septa-sealed PP Lab Bottle, with DIN/GL Universal Cap, 100~2,000㎖ Graduated, Excellent for Sealing & Chemical Resistance, Transparent, 125/140℃ Stable, Autoclavable“리크프루프” PP 랩바틀","wisd “leak-proof” ptfe butyl septa-sealed pp lab bottle, with din gl universal cap, 100~2,000㎖ graduated, excellent for sealing & chemical resistance, transparent, 125 140℃ stable, autoclavable“리크프루프” pp 랩바틀",,,
"Wisd “Leak-Proof” PTFE/Butyl Septa-sealed PP Amber Lab Bottle, with DIN/GL Universal Cap, 100~2,00㎖ Graduated, Excellent for Sealing & Chemical Resistance, 125/140℃ Stable, Autoclavable,“ 리크프루프” PP 랩바틀","wisd “leak-proof” ptfe butyl septa-sealed pp amber lab bottle, with din gl universal cap, 100~2,00㎖ graduated, excellent for sealing & chemical resistance, 125 140℃ stable, autoclavable,“ 리크프루프” pp 랩바틀",,,
"High Polished Stainless-steel Bowls, 35~9000㎖ with U- & W-type, Multi-purpose, 스테인레스 보울, 원형 다용도","high polished stainless-steel bowls, 35~9000㎖ with u- & w-type, multi-purpose, 스테인레스 보울, 원형 다용도",,,
"Bunsen Gas Burners, for Propane- / Natural-/ Multi-Gases, DIN/ISO, 분젠 가스버너","bunsen gas burners, for propane- natural- multi-gases, din iso, 분젠 가스버너",,,
"ABS Chemical-resist Assembly Carts, with Pan tray Shelves with On-Casters, Chemical-/Corrosion Resistance, -40~+85℃, 조립식 Plastic 카트","abs chemical-resist assembly carts, with pan tray shelves with on-casters, chemical- corrosion resistance, -40~+85℃, 조립식 plastic 카트",,,
"Stainless-steel Safety Rack Cart, with “Stop-On” Casters for Square Storage Bottles, 바틀 랙 카트","stainless-steel safety rack cart, with “stop-on” casters for square storage bottles, 바틀 랙 카트",,,
"Fabricated Stainless-steel Carts, with 2×Shelves for Lab / Medical / Industrial, with Stop-On Casters, 조립식 2단 카트","fabricated stainless-steel carts, with 2×shelves for lab medical industrial, with stop-on casters, 조립식 2단 카트",,,
"Stainless-steel Carts, with 2×Shelves for Lab / Medical / Industrial, with Stop-On Casters, 다용도 2단 카트","stainless-steel carts, with 2×shelves for lab medical industrial, with stop-on casters, 다용도 2단 카트",,,
"Stainless-steel Carts, with Handle for Lab / Medical / Industrial, 핸들 타입 다용도 2단 카트","stainless-steel carts, with handle for lab medical industrial, 핸들 타입 다용도 2단 카트",,,
"Stainless-steel Carts, with 3×Shelves for Lab / Medical / Industrial, 핸들 타입 3단 카트","stainless-steel carts, with 3×shelves for lab medical industrial, 핸들 타입 3단 카트",,,
"Utility Stainless-steel Tray Shelved Carts for Medical / Industrial, 트레이 선반식 다용도 카트","utility stainless-steel tray shelved carts for medical industrial, 트레이 선반식 다용도 카트",,,
"Utility Stainless-steel Carts, with Wire Baskets or Basket / Shelf with 2 Baskets or Basket / Shelf, with Stop-On Casters, 와이어 바스켓식 카트","utility stainless-steel carts, with wire baskets or basket shelf with 2 baskets or basket shelf, with stop-on casters, 와이어 바스켓식 카트",,,
"Universal Compact Globular Clamp/Holder, Grip Capa. Φ13mm with Hinged Screws, Size Φ35mm, 만능 구형 클램프 / 홀더","universal compact globular clamp holder, grip capa. φ13mm with hinged screws, size φ35mm, 만능 구형 클램프 홀더",,,
"Universal Clamp / Holder, Grip Capa. Φ13mm with Hinged Screws, 만능 클램프 / 홀더","universal clamp holder, grip capa. φ13mm with hinged screws, 만능 클램프 홀더",,,
