pdt_name,pdt_name_clean,group_id,pdt_name_processed,category
(BBC) Eosin Y alcoholic 3.8L,bbc eosin y alcoholic 3.8l,638,bbc eosin y alcoholic 3 8l,기타
라인프렌즈 홈즈 차량용 에어후레쉬(브라운/1.9ml),라인프렌즈 홈즈 차량용 에어후레쉬 브라운 1.9ml,1825,라인프렌즈 홈즈 차량용 에어후레쉬 브라운 1 9ml,기타
도면통(대),도면통 대,2233,도면통 대,기타
"가스 누출 탐지제 (BC-100 보글체크, 나바켐)","가스 누출 탐지제 bc-100 보글체크, 나바켐",914,가스 누출 탐지제 bc 100 보글체크 나바켐,기타
"(HITACHI) ISE High(control), 3㎖ * 5","hitachi ise high control , 3㎖ * 5",75,hitachi ise high control 3 5,기타
이지쿨맥시 플라스틱 밀폐용기 16호 8.2L,이지쿨맥시 플라스틱 밀폐용기 16호 8.2l,1945,이지쿨맥시 플라스틱 밀폐용기 16호 8 2l,기타
로드셀,로드셀,2132,로드셀,기타
"케이블타이 (상품코드: K44003516), PK(1000EA)","케이블타이 상품코드: k44003516 , pk 1000ea",1791,케이블타이 상품코드 k44003516 pk 1000ea,기타
"[Potter] Smoke Detector, Conventional Type with Base","potter smoke detector, conventional type with base",320,potter smoke detector conventional type with base,기타
프릭션 노크볼펜0.5(청/LFBK-23EF/1자루/PIOLT),프릭션 노크볼펜0.5 청 lfbk-23ef 1자루 piolt,1121,프릭션 노크볼펜0 5 청 lfbk 23ef 1자루 piolt,볼펜
자율주행 모빌리티·플랫폼 개발동향과 미래차 인프라구축 상용화 R&D전략,자율주행 모빌리티·플랫폼 개발동향과 미래차 인프라구축 상용화 r&d전략,1355,자율주행 모빌리티 플랫폼 개발동향과 미래차 인프라구축 상용화 r d전략,기타
여행용 아답터(녹색/USB 2port/2100mA),여행용 아답터 녹색 usb 2port 2100ma,1288,여행용 아답터 녹색 usb 2port 2100ma,기타
스티키노트(5138W/2개입/프린텍),스티키노트 5138w 2개입 프린텍,1550,스티키노트 5138w 2개입 프린텍,노트
TGK 유리 로트 다리 길이 형,tgk 유리 로트 다리 길이 형,1166,tgk 유리 로트 다리 길이 형,기타
E30 Portable 외장 SSD(1TB/블루블랙/Sandisk) 오피스디포 상품코드 : 283352,e30 portable 외장 ssd 1tb 블루블랙 sandisk 오피스디포 상품코드 : 283352,1456,e30 portable 외장 ssd 1tb 블루블랙 sandisk 오피스디포 상품코드 283352,기타
아인샤프(A125/청색/0.5/1자루/PENTEL),아인샤프 a125 청색 0.5 1자루 pentel,1138,아인샤프 a125 청색 0 5 1자루 pentel,샤프
"SiliCycle(실리사이클) SiliaFest FaPEx Pigmented, FPX-PM-50 (50/box)","silicycle 실리사이클 siliafest fapex pigmented, fpx-pm-50 50 box",431,silicycle 실리사이클 siliafest fapex pigmented fpx pm 50 50 box,기타
강력 2공펀치(75XL/CARL),강력 2공펀치 75xl carl,1570,강력 2공펀치 75xl carl,펀치류
합지D링바인더(3cm/회색/오피스디포),합지d링바인더 3cm 회색 오피스디포,1931,합지d링바인더 3cm 회색 오피스디포,바인더
"갤럭시 북2 pro 360 , 삼성","갤럭시 북2 pro 360 , 삼성",1963,갤럭시 북2 pro 360 삼성,기타
포스트-잇(팝업팩/C-4214/3M),포스트-잇 팝업팩 c-4214 3m,1679,포스트 잇 팝업팩 c 4214 3m,기타
"DAIHAN-brand® All PVC Wet Scrubber Ducted Fume Hood for Acid/Chemical Resistance, 1500-/1800-/2100-/2400-mm (A) Bypass or (B) Air Curtain-Type, Circulation Pump, PP Pall Ring Filter, Demister, Air-/Gas-/Water-Cock, Cup Sink, and Drain 내산 / 내약품용 PVC 닥트형 스크러버 흄후드, PVC 재질의 외부/내부/작업대, 내화학성, 대기오염방지형 ","daihan-brand® all pvc wet scrubber ducted fume hood for acid chemical resistance, 1500- 1800- 2100- 2400-mm a bypass or b air curtain-type, circulation pump, pp pall ring filter, demister, air- gas- water-cock, cup sink, and drain 내산 내약품용 pvc 닥트형 스크러버 흄후드, pvc 재질의 외부 내부 작업대, 내화학성, 대기오염방지형",484,daihan brand all pvc wet scrubber ducted fume hood for acid chemical resistance 1500 1800 2100 2400 mm a bypass or b air curtain type circulation pump pp pall ring filter demister air gas water cock cup sink and drain 내산 내약품용 pvc 닥트형 스크러버 흄후드 pvc 재질의 외부 내부 작업대 내화학성 대기오염방지형,기타
(SIG ALD) Transferrin human  95+% 1g [CAS n/a],sig ald transferrin human 95+% 1g cas n a,643,sig ald transferrin human 95 1g cas n a,기타
"[Metrohm] Mini USB adapter cable, 25 cm","metrohm mini usb adapter cable, 25 cm",229,metrohm mini usb adapter cable 25 cm,기타
소프트 엑스레이,소프트 엑스레이,2325,소프트 엑스레이,기타
ISO 23150:2023,iso 23150:2023,1065,iso 23150 2023,기타
작업대 (1500),작업대 1500,1894,작업대 1500,기타
Cyclonic Spray Chambers O-Ring Free (N0776052 대체) N0775351,cyclonic spray chambers o-ring free n0776052 대체 n0775351,320,cyclonic spray chambers o ring free n0776052 대체 n0775351,기타
